Name,Material,Work Function,Voltage,Frequency,Wavelength,Colour RGB,Colour Hex,Spectrum range
"Cu,0.0934",Cu,4.53,0.0934,1.1179,2.681649710322969e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0947",Cu,4.53,0.0947,1.1183,2.6808934663710026e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0961",Cu,4.53,0.0961,1.1186,2.6801271010273414e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0974",Cu,4.53,0.0974,1.1189,2.6793504848590477e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.0988",Cu,4.53,0.0988,1.1192,2.6785634869438602e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1001",Cu,4.53,0.1001,1.1196,2.6777659748576787e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1015",Cu,4.53,0.1015,1.1199,2.6769578146620915e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1029",Cu,4.53,0.1029,1.1202,2.6761388708919277e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1044",Cu,4.53,0.1044,1.1206,2.6753090065428624e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1058",Cu,4.53,0.1058,1.1209,2.6744680830590608e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1073",Cu,4.53,0.1073,1.1213,2.673615960320887e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1088",Cu,4.53,0.1088,1.1217,2.67275249663266e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1103",Cu,4.53,0.1103,1.122,2.671877548710488e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1119",Cu,4.53,0.1119,1.1224,2.6709909716701674e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1134",Cu,4.53,0.1134,1.1228,2.670092619015162e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.115",Cu,4.53,0.115,1.1232,2.6691823426246678e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1166",Cu,4.53,0.1166,1.1236,2.668259992741773e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1183",Cu,4.53,0.1183,1.1239,2.6673254179617123e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1199",Cu,4.53,0.1199,1.1243,2.6663784652202317e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1216",Cu,4.53,0.1216,1.1247,2.6654189797820666e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1233",Cu,4.53,0.1233,1.1252,2.6644468052295373e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.125",Cu,4.53,0.125,1.1256,2.6634617834512842e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1267",Cu,4.53,0.1267,1.126,2.6624637546311302e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1285",Cu,4.53,0.1285,1.1264,2.661452557237098e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1303",Cu,4.53,0.1303,1.1269,2.6604280280105712e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1321",Cu,4.53,0.1321,1.1273,2.659390001955633e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.134",Cu,4.53,0.134,1.1277,2.658338312328567e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1358",Cu,4.53,0.1358,1.1282,2.6572727906275434e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1377",Cu,4.53,0.1377,1.1287,2.6561932665824976e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1397",Cu,4.53,0.1397,1.1291,2.6550995681452067e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1416",Cu,4.53,0.1416,1.1296,2.6539915214795834e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1436",Cu,4.53,0.1436,1.1301,2.6528689509521837e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1456",Cu,4.53,0.1456,1.1306,2.651731679122952e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1476",Cu,4.53,0.1476,1.131,2.6505795267362077e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
"Cu,0.1497",Cu,4.53,0.1497,1.1315,2.649412312711886e+17,"(R=1,G=0,B=0,A=1)",#ff0000,IR
